CR_REGION,NOMBRE_REGION,CR_TIENDA,NOMBRE_TIENDA
10CAN,Yucatan,50CK4,Solana MID
10CAN,Yucatan,50CKH,Chenku II MID
10CAN,Yucatan,50CLR,Carcamo CUN
10CAN,Yucatan,50CMY,Manati CUN
10CAN,Yucatan,50CNK,Chenku MID
10CAN,Yucatan,50CNY,Cincuenta y CincoCUN
10CAN,Yucatan,50COK,Kabah CUN
10CAN,Yucatan,50CQN,Cozumel Quinta CUN
10CAN,Yucatan,50CTD,Catedral MID
10CAN,Yucatan,50CUP,Cupules MID
10CAN,Yucatan,50CV1,Jardines Dzytia MID
10CAN,Yucatan,50CVD,Recondo CUN
10CAN,Yucatan,50CVF,DeptvoArrecifesIICUN
10CAN,Yucatan,50CW7,Nueva Mayapan MID
10CAN,Yucatan,50CWD,Cd. Industrial MID
10CAN,Yucatan,50CXH,Chembech MID
10CAN,Yucatan,50CXK,Langosta CUN
10CAN,Yucatan,50CXP,Contaduria MID
10CAN,Yucatan,50CXY,Campestre CUN
10CAN,Yucatan,50CYK,Coyuca CUN
10CAN,Yucatan,50CYP,La Perla MID
10CAN,Yucatan,50CZE,Cozumel 65 CUN
10CAN,Yucatan,50D09,Dreams CUN
10CAN,Yucatan,50D1D,Gas Koben MID
10CAN,Yucatan,50D32,86 Sur MID
10CAN,Yucatan,50D3E,San Francisco  MID
10CAN,Yucatan,50D40,Tilon CUN
10CAN,Yucatan,50D4W,Muyal CUN
10CAN,Yucatan,50D5T,Prolongacion Montejo MID
10CAN,Yucatan,50D7L,Boreas MID
10CAN,Yucatan,50D8E,Playa Sol MID
10CAN,Yucatan,50D8T,Hecelchakan MID
10CAN,Yucatan,50D97,Capitolio CUN
10CAN,Yucatan,50DAJ,Jade MID
10CAN,Yucatan,50DCL,Gonzalo Guerrero MID
10CAN,Yucatan,50DCV,Villas Oriente MID
10CAN,Yucatan,50DDW,Caridad del CobreMID
10CAN,Yucatan,50DEZ,G 18 MID
10CAN,Yucatan,50DF6,San Nicolas MID
10CAN,Yucatan,50DH3,Los Reyes CUN
10CAN,Yucatan,50DHD,Villas la Playa CUN
10CAN,Yucatan,50DJ8,Jardines del Norte MID
10CAN,Yucatan,50DKQ,La Selva CUN
10CAN,Yucatan,50DKU,Puerto CUN
10CAN,Yucatan,50DKX,Edzna CUN
10CAN,Yucatan,50DL7,Napoles CUN
10CAN,Yucatan,50DME,Satelite CUN
10CAN,Yucatan,50DOO,Doce CUN
10CAN,Yucatan,50DOU,Ateneo MID
10CAN,Yucatan,50DP6,Gas Castamay MID
10CAN,Yucatan,50DPI,Lima CUN
10CAN,Yucatan,50DQN,Plaza Republica MID
10CAN,Yucatan,50DQR,AZULEJOS CUN
10CAN,Yucatan,50DRJ,Cuauhtemoc MID
10CAN,Yucatan,50DS1,Eclipse CUN
10CAN,Yucatan,50DSF,Paraiso Caucel MID
10CAN,Yucatan,50DT2,Monte Pena CUN
10CAN,Yucatan,50DU4,Manantial MID
